Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(1, 0, 1, 0, 1)",6,0.9152380952380954,0.9242843441596369,0.8919535075014725,1.0,0.9387459505537032,0.9449937006225996,0.8665582279372582,1.0,0.905,0.9199999999999999,1.0
"(1, 0, 1, 1, 0)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(1, 0, 1, 1, 1)",6,0.5895238095238096,0.7253006654321238,0.0,1.0,0.575100221810708,0.5872015383793602,0.0,1.0,0.9483333333333335,0.0,1.0
"(1, 1, 0, 0, 0)",6,0.8380952380952381,0.8463582606016862,0.8095155800865758,1.0,0.8852912802294208,0.9237276768557994,0.7346311776458836,1.0,0.7816666666666667,0.9025000000000001,1.0
"(1, 1, 0, 0, 1)",6,0.8352380952380951,0.8429963011156124,0.8071500996281173,1.0,0.8833821335812433,0.92508121758114,0.7291220595781256,1.0,0.775,0.905,1.0
"(1, 1, 0, 1, 0)",6,0.6590476190476191,0.7688227542279815,0.18333333333333332,1.0,0.6507186958537716,0.6647459499263623,0.175,1.0,0.9416666666666667,0.1925,1.0
"(1, 1, 0, 1, 1)",6,0.5885714285714286,0.7244814633349664,0.0,1.0,0.5748271544449889,0.5867697594501718,0.0,1.0,0.9466666666666667,0.0,1.0
"(1, 1, 1, 0, 0)",6,0.9114285714285714,0.920447150114619,0.8879582096019952,1.0,0.9361351199055381,0.946156267410186,0.8569084304655347,1.0,0.8966666666666667,0.9225,1.0
"(1, 1, 1, 0, 1)",6,0.9114285714285714,0.9205557667807283,0.8877361885745291,1.0,0.9360973184517525,0.9445882287035481,0.8587809194550768,1.0,0.8983333333333334,0.9199999999999999,1.0
"(1, 1, 1, 1, 0)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
