Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 1, 1, 1, 1)",7,0.8133333333333332,0.8516795317699059,0.6690327657326086,1.0,0.8402374325008383,0.840336454948112,0.6495950537446206,1.0,0.8800000000000001,0.69,1.0
"(1, 0, 0, 0, 0)",7,0.7942857142857143,0.8121347979856226,0.7457879646929966,1.0,0.8526409208928731,0.8494275461380724,0.7047289758045572,1.0,0.7783333333333333,0.7925000000000001,1.0
"(1, 0, 0, 0, 1)",7,0.800952380952381,0.8187441792263275,0.753149503016877,1.0,0.8572978940810682,0.8537535513950608,0.7136972160041728,1.0,0.7866666666666666,0.7975000000000001,1.0
"(1, 0, 0, 1, 0)",7,0.8028571428571428,0.8430588950565774,0.654170957679172,1.0,0.8324099509119165,0.826008034332177,0.6415961325287445,1.0,0.8766666666666666,0.6675,1.0
"(1, 0, 0, 1, 1)",7,0.8038095238095238,0.8442271136653309,0.654731501271912,1.0,0.832986204979081,0.824835383428734,0.644902573255987,1.0,0.8800000000000001,0.665,1.0
"(1, 0, 1, 0, 0)",7,0.8295238095238094,0.8463118002726645,0.7856569622050753,1.0,0.8773229208259131,0.8726060102792672,0.7542456952866654,1.0,0.8216666666666667,0.82,1.0
"(1, 0, 1, 0, 1)",7,0.8285714285714285,0.8453433838536043,0.7846757920153343,1.0,0.8766730586229794,0.8724197038051174,0.7524279994834042,1.0,0.82,0.82,1.0
"(1, 0, 1, 1, 0)",7,0.8133333333333332,0.852342658388982,0.667670402748753,1.0,0.8400043537125784,0.8362956443505644,0.6537175514644076,1.0,0.885,0.6825,1.0
"(1, 0, 1, 1, 1)",7,0.8133333333333332,0.852342658388982,0.667670402748753,1.0,0.8400043537125784,0.8362956443505644,0.6537175514644076,1.0,0.885,0.6825,1.0
"(1, 1, 0, 0, 0)",7,0.7628571428571428,0.7766222641773303,0.7185302382965112,1.0,0.8317175008246138,0.8412473040977714,0.6559036393713813,1.0,0.7216666666666667,0.7949999999999999,1.0
"(1, 1, 0, 0, 1)",7,0.7657142857142857,0.7791549290687602,0.7222373900447792,1.0,0.833797439704513,0.8447340378474154,0.6585454701784798,1.0,0.7233333333333334,0.8,1.0
"(1, 1, 0, 1, 0)",7,0.7971428571428572,0.8375573004067484,0.6477520567490263,1.0,0.8284364523852581,0.8234326898628959,0.63144924430966,1.0,0.8683333333333334,0.665,1.0
"(1, 1, 0, 1, 1)",7,0.7952380952380953,0.8360696384132404,0.6448785949657609,1.0,0.8269827444596671,0.8203666151096094,0.6305302402381587,1.0,0.8683333333333334,0.6599999999999999,1.0
"(1, 1, 1, 0, 0)",7,0.8047619047619048,0.8179506278560668,0.7653947999816184,1.0,0.8611151426125618,0.8745306183371764,0.7065990524438547,1.0,0.7683333333333333,0.835,1.0
"(1, 1, 1, 0, 1)",7,0.7514285714285714,0.789610546884407,0.6026041023071999,1.0,0.7974048830638689,0.8097158035223615,0.5544251394003764,1.0,0.7916666666666666,0.6599999999999999,1.0
"(1, 1, 1, 1, 0)",7,0.8085714285714285,0.8475421406695449,0.6627433842880998,1.0,0.8367618416525483,0.8352787438000128,0.6443041296341152,1.0,0.8766666666666666,0.6824999999999999,1.0
"(1, 1, 1, 1, 1)",7,0.700952380952381,0.788407670760612,0.33898557191729883,1.0,0.709131080892637,0.7138715432649421,0.3309699376063528,1.0,0.9116666666666667,0.3475,1.0
"(0, 0, 0, 0, 1)",8,0.7952380952380953,0.8115859521724536,0.7496226818837995,1.0,0.8537362113520844,0.8560044313562212,0.701520611246923,1.0,0.7716666666666667,0.805,1.0
"(0, 0, 0, 1, 0)",8,0.7971428571428572,0.8371256945734581,0.6511060882188193,1.0,0.8294105942640926,0.8270612217062357,0.6313430109069055,1.0,0.8633333333333333,0.6725,1.0
"(0, 0, 0, 1, 1)",8,0.7933333333333333,0.8342087605724418,0.6452423629663262,1.0,0.8264837078462561,0.8210341559025769,0.6292649456175654,1.0,0.8633333333333333,0.6625000000000001,1.0
"(0, 0, 1, 0, 0)",8,0.8342857142857143,0.8491810459644242,0.7942807334815936,1.0,0.8811539264820061,0.8847269116186691,0.7536730991258452,1.0,0.8166666666666667,0.8400000000000001,1.0
"(0, 0, 1, 0, 1)",8,0.8304761904761906,0.8452104467138284,0.7905061021333014,1.0,0.8785721829490433,0.8838941729562301,0.7468281290731767,1.0,0.8099999999999999,0.8400000000000001,1.0
"(0, 0, 1, 1, 0)",8,0.8161904761904761,0.8545284456631794,0.6745268109816605,1.0,0.8430184188816133,0.8436341250582737,0.6558544243937503,1.0,0.8816666666666666,0.6950000000000001,1.0
"(0, 0, 1, 1, 1)",8,0.8152380952380952,0.8537281469621139,0.6732476615666758,1.0,0.8423252695095966,0.8418276675728353,0.6554512511338977,1.0,0.8816666666666666,0.6925,1.0
"(0, 1, 0, 0, 0)",8,0.7638095238095237,0.7773317881724962,0.7199786470401163,1.0,0.8324368117375375,0.8428519593613932,0.6565671031096564,1.0,0.7216666666666667,0.7975,1.0
"(0, 1, 0, 0, 1)",8,0.7657142857142857,0.7791549290687602,0.7222373900447792,1.0,0.833797439704513,0.8447340378474154,0.6585454701784798,1.0,0.7233333333333334,0.8,1.0
"(0, 1, 0, 1, 0)",8,0.7933333333333333,0.8335049314289282,0.646665764558741,1.0,0.8267235653292231,0.825029756166181,0.6253093652245447,1.0,0.8583333333333334,0.6699999999999999,1.0
"(0, 1, 0, 1, 1)",8,0.7961904761904762,0.8363767990569638,0.6496544272841771,1.0,0.8286770754470469,0.8255844517286166,0.6309624725249389,1.0,0.8633333333333333,0.6699999999999999,1.0
"(0, 1, 1, 0, 0)",8,0.7933333333333332,0.8077737744381507,0.7508399949806329,1.0,0.8528712564729279,0.8621089801563759,0.6943664093840148,1.0,0.76,0.8175000000000001,1.0
"(0, 1, 1, 0, 1)",8,0.7904761904761904,0.8048850067219219,0.747805969147996,1.0,0.8508969919566394,0.8597592605409929,0.6909263007443252,1.0,0.7566666666666667,0.8150000000000001,1.0
"(0, 1, 1, 1, 0)",8,0.8076190476190476,0.8469052915397894,0.6635447103514314,1.0,0.8368166672970736,0.8349364484272289,0.6461740831623307,1.0,0.875,0.6825,1.0
"(0, 1, 1, 1, 1)",8,0.7514285714285714,0.8151229793286751,0.5013993863653372,1.0,0.7721741218980042,0.7728881026094647,0.4886879127189204,1.0,0.8883333333333333,0.515,1.0
"(1, 0, 0, 0, 0)",8,0.7942857142857143,0.8121347979856226,0.7457879646929966,1.0,0.8526409208928731,0.8494275461380724,0.7047289758045572,1.0,0.7783333333333333,0.7925000000000001,1.0
"(1, 0, 0, 0, 1)",8,0.8019047619047619,0.819774183704608,0.7540229885057471,1.0,0.8579323907367848,0.8540431266846362,0.7152804642166345,1.0,0.7883333333333333,0.7975000000000001,1.0
"(1, 0, 0, 1, 0)",8,0.7971428571428572,0.8369343393116964,0.6514452652747207,1.0,0.8294598681954722,0.8286348939839918,0.62999037999038,1.0,0.8616666666666667,0.675,1.0
"(1, 0, 0, 1, 1)",8,0.7961904761904762,0.8364254922988433,0.6495473248672732,1.0,0.8286576057220388,0.8257201690638224,0.630790863713251,1.0,0.8633333333333333,0.6699999999999999,1.0
"(1, 0, 1, 0, 0)",8,0.8209523809523809,0.8371031869775617,0.7776227747680757,1.0,0.871575320581879,0.8722150998646285,0.7378035115422851,1.0,0.805,0.8225000000000001,1.0
"(1, 0, 1, 0, 1)",8,0.8209523809523809,0.8379757016856921,0.7759694945059656,1.0,0.8713150653972193,0.8683086509402298,0.7409688820607752,1.0,0.8099999999999999,0.8150000000000001,1.0
"(1, 0, 1, 1, 0)",8,0.8152380952380952,0.8535927444588639,0.6734980346463066,1.0,0.8423635930350569,0.8434471217182296,0.6538323846239257,1.0,0.8800000000000001,0.6950000000000001,1.0
"(1, 0, 1, 1, 1)",8,0.8133333333333332,0.852071106436254,0.670703933747412,1.0,0.8409250133945554,0.8402642636001769,0.6530022446689114,1.0,0.8800000000000001,0.6900000000000001,1.0
