Kombinace příznaků,Délka úseků,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 1, 1)","(4, 8, 16, 12)",0.658172970893123,1079.6,0.7221567238429727,0.559810239102194,0.2814761982099458,0.5211477203850374,0.6189678743850681,0.5605886238597273,0.6540295619270032,0.8850260063511526,0.6620542288843975,0.20679407774047015
"(0, 0, 0, 1, 1)","(4, 8, 16, 13)",0.6578838616551191,1080.4,0.7231545215252445,0.5576387228465699,0.2815217339341977,0.5207716594353373,0.6205586578404048,0.5578945790410421,0.6531729821354536,0.8846994108354955,0.6613069270108811,0.20732176908658043
"(0, 0, 0, 1, 1)","(4, 8, 16, 14)",0.6573212517710034,1081.9,0.7240714161451051,0.5558567092008273,0.2804125929716611,0.520113572772531,0.6219143251150494,0.5559063535054525,0.6512903355351098,0.8846994108354955,0.6604469953199847,0.2069154601584741
"(0, 0, 0, 1, 1)","(4, 8, 16, 15)",0.6568911342179653,1082.9,0.7246994171633128,0.5549198852287303,0.27949589433706834,0.5197050655763704,0.6228964182365428,0.5381489768375147,0.6503660436797373,0.884633899558187,0.6602564335763531,0.20666047747249977
"(0, 0, 0, 1, 1)","(4, 8, 16, 16)",0.6561751086462546,1085.0,0.7247328127425126,0.5541577126918122,0.27868221002887034,0.5191909118210649,0.6230911703083133,0.5372812394322816,0.6464770240557891,0.8844152704496999,0.6596031819687623,0.20604507091231064
"(0, 0, 0, 1, 1)","(4, 10, 12, 5)",0.6489269892699527,1112.9,0.7148368943982902,0.4879993974050816,0.2838414811763951,0.49555925765992237,0.6076134604923841,0.5061789962012538,0.6257890342914847,0.8865689437665486,0.5699913384048294,0.21291756107871426
"(0, 0, 0, 1, 1)","(4, 10, 12, 6)",0.651638472088821,1103.7,0.7162772534430453,0.49230807410664196,0.29180295794082095,0.5001294284968361,0.6099343263353699,0.5160316686399342,0.6237420313716081,0.8862018014520716,0.5727028475991085,0.21954602879265886
"(0, 0, 0, 1, 1)","(4, 10, 12, 7)",0.6543538338063837,1094.4,0.7177373265283031,0.4953924946087631,0.3006223854568114,0.5045840688646258,0.6122707035187828,0.5170778369683313,0.6234439141611918,0.8857477026158556,0.5750111721746549,0.22609437540570337
"(0, 0, 0, 1, 1)","(4, 10, 12, 8)",0.6554065670138117,1090.3,0.7187781345128404,0.49645031229728936,0.3064166386044502,0.5072150284715267,0.6137596054649064,0.5180421563457271,0.6229154172677415,0.8856415594466259,0.5744330424504063,0.2328968787474408
"(0, 0, 0, 1, 1)","(4, 10, 12, 9)",0.6579170347479792,1081.6,0.7199411758395333,0.49935901764934176,0.31472414395362913,0.5113414458141681,0.6155636634641445,0.5210320962626745,0.6206270419726282,0.885251926000465,0.5767497801059861,0.23970482958419942
"(0, 0, 0, 1, 1)","(4, 10, 12, 10)",0.6583538373396255,1079.8,0.721238067492157,0.5591273663406452,0.2782900466416752,0.5195518268248258,0.6175640005708591,0.5594353485455785,0.6562300291861389,0.8849903331588113,0.6634689709029585,0.2037313767212514
"(0, 0, 0, 1, 1)","(4, 10, 12, 11)",0.6583561295821602,1079.5,0.7221304427361546,0.557833916821869,0.27863981139344424,0.5195347236504892,0.6189546722290362,0.5575832557709539,0.655791659953533,0.8848996714872595,0.6633219440713167,0.2042444117249608
"(0, 0, 0, 1, 1)","(4, 10, 12, 12)",0.6588724416259997,1077.6,0.7238376187428976,0.5566302388187931,0.2809366604968729,0.520468172686188,0.6217514382324026,0.5551908038610293,0.6544589113606138,0.8841871260329099,0.6643398143731308,0.20662330583873265
"(0, 0, 0, 1, 1)","(4, 10, 12, 13)",0.6584356220819484,1078.8,0.7250812367290281,0.5543010023255117,0.2815664154918941,0.5203162181821447,0.6236153164257245,0.5527971675210579,0.6539261230000882,0.8840316763604859,0.662956572904174,0.20772216107642844
"(0, 0, 0, 1, 1)","(4, 10, 12, 14)",0.6577809617765827,1080.6,0.7260648834339773,0.5526005972418422,0.28083037515347276,0.5198319519430974,0.6252118527472789,0.5341058530902423,0.6510954945172516,0.8837020989714525,0.6622168596695278,0.2075866678112242
"(0, 0, 0, 1, 1)","(4, 10, 12, 15)",0.6569815680454265,1083.0,0.726552163871973,0.5504219149105756,0.2795255090184463,0.518833195933665,0.6260011740584293,0.5318892031504268,0.6487696929647628,0.8835896130321949,0.6613413140210737,0.20668612282782997
"(0, 0, 0, 1, 1)","(4, 10, 12, 16)",0.6565804095086378,1084.0,0.7268033845514621,0.55046473973933,0.278824467984158,0.5186975307583166,0.6264135015993894,0.5241445743623394,0.6473241270918332,0.8836759758575277,0.6607682211359375,0.20643529643032882
"(0, 0, 0, 1, 1)","(4, 10, 14, 5)",0.6482984512335953,1115.1,0.7133769685130129,0.4889671046416407,0.2834579888656791,0.4952673540067777,0.6055910946774722,0.5121184456251617,0.6263203398145826,0.8865689437665486,0.5685304549373168,0.21213497871144224
"(0, 0, 0, 1, 1)","(4, 10, 14, 6)",0.6500348065852175,1108.7,0.7145898045506536,0.49219761751493774,0.2890777830839534,0.49862173504984836,0.6075143782505961,0.5171319046022347,0.6227905292267734,0.8862702946027566,0.5700227178469467,0.21683857045638674
"(0, 0, 0, 1, 1)","(4, 10, 14, 7)",0.6525294303340667,1100.4,0.7158007710247299,0.4955933770398856,0.2967490489855886,0.5027143990167348,0.6094022250905393,0.5192404365883247,0.6229382685104115,0.8858662255461713,0.5730092997272261,0.22277018173165666
"(0, 0, 0, 1, 1)","(4, 10, 14, 8)",0.6542591146836039,1093.8,0.7173917607853714,0.49759150056466217,0.3039811439684579,0.5063214684394972,0.6118257902926898,0.5199133720544928,0.6217527570161783,0.8856729962751727,0.5741564416741011,0.23035760258581398
"(0, 0, 0, 1, 1)","(4, 10, 14, 9)",0.6565166005405234,1086.1,0.7188487521065045,0.49887313377354037,0.31216848685945164,0.5099634575798322,0.6139758011479591,0.5212547186001566,0.6198520346550642,0.8854679827629184,0.574997607879179,0.23709713683848482
"(0, 0, 0, 1, 1)","(4, 10, 14, 10)",0.6571235247755776,1083.8,0.719967680854577,0.4985386671872699,0.31423330335241684,0.5109132171314211,0.6157087009784463,0.5216778865721846,0.6190838964208442,0.8850994582014173,0.5750100967708776,0.23936854314458725
"(0, 0, 0, 1, 1)","(4, 10, 14, 11)",0.6571354575135375,1084.1,0.7208208372044759,0.5571723658603517,0.2775256049383694,0.5185062693343989,0.6170166908944591,0.5580901679608085,0.6561363952576165,0.8850279831773561,0.6606206430768302,0.20272927640952845
